Skill,Prior,Learn,Guess,Slip
Skill_9,0.161,0.292,0.182,0.173
Skill_6,0.307,0.276,0.138,0.15
Skill_11,0.323,0.274,0.217,0.098
Skill_10,0.106,0.244,0.214,0.051
Skill_15,0.418,0.191,0.157,0.076
Skill_7,0.399,0.176,0.095,0.084
Skill_5,0.219,0.172,0.126,0.107
Skill_3,0.103,0.171,0.194,0.056
Skill_2,0.247,0.166,0.119,0.171
Skill_12,0.152,0.164,0.236,0.124
Skill_4,0.282,0.159,0.06,0.091
Skill_1,0.326,0.139,0.244,0.053
Skill_13,0.318,0.131,0.102,0.198
Skill_14,0.363,0.114,0.201,0.154
Skill_8,0.483,0.109,0.081,0.155
