epoch,train_loss,val_auc
1,0.3712,0.5689
2,0.4597,0.6028
3,0.3853,0.6148
4,0.3131,0.6109
5,0.3421,0.6209
6,0.2093,0.6228
7,0.2487,0.6366
8,0.1491,0.6349
9,0.2354,0.6358
10,0.2284,0.659
11,0.1808,0.6679
12,0.2212,0.6533
13,0.1665,0.6709
14,0.05,0.659
15,0.0717,0.7
16,0.0613,0.6672
17,0.0865,0.6852
18,0.05,0.6937
19,0.0842,0.6876
20,0.0833,0.6938
21,0.0712,0.6879
22,0.05,0.6855
23,0.0924,0.674
24,0.0538,0.7011
25,0.0734,0.6925
26,0.0744,0.6978
27,0.0728,0.6887
28,0.05,0.6992
29,0.05,0.6926
30,0.05,0.7103
