student_id,sequence_length
1,2
2,2
3,3
4,9
5,5
6,13
7,14
8,12
9,12
10,12
11,2
12,11
13,5
14,4
15,13
16,4
17,4
18,5
19,10
20,11
21,9
22,12
23,11
24,8
25,4
26,4
27,11
28,13
29,9
30,9
31,11
32,12
33,4
34,4
35,12
36,8
37,2
38,6
39,14
40,2
41,5
42,3
43,12
44,13
45,10
46,12
47,14
48,5
49,13
50,13
51,6
52,2
53,2
54,4
55,9
56,4
57,10
58,7
59,4
60,6
61,6
62,7
63,14
64,9
65,13
66,13
67,14
68,4
69,5
70,8
71,8
72,11
73,11
74,10
75,14
76,6
77,2
78,13
79,6
80,4
81,9
82,12
83,6
84,11
85,4
86,6
87,4
88,12
89,13
90,3
91,13
92,14
93,9
94,13
95,3
96,2
97,6
98,14
99,14
100,13
