interaction_id,skill,correct_text,predicted_prob
1,Skill_2,✗ Incorrect,0.442
2,Skill_3,✗ Incorrect,0.303
3,Skill_3,✗ Incorrect,0.443
4,Skill_1,✗ Incorrect,0.582
5,Skill_3,✗ Incorrect,0.808
6,Skill_5,✓ Correct,0.772
7,Skill_2,✗ Incorrect,0.695
8,Skill_3,✓ Correct,0.562
9,Skill_4,✗ Incorrect,0.435
10,Skill_4,✗ Incorrect,0.795
11,Skill_1,✓ Correct,0.832
12,Skill_5,✗ Incorrect,0.378
13,Skill_2,✓ Correct,0.524
14,Skill_4,✓ Correct,0.639
15,Skill_3,✓ Correct,0.602
16,Skill_3,✓ Correct,0.671
17,Skill_3,✗ Incorrect,0.764
18,Skill_1,✗ Incorrect,0.611
19,Skill_3,✗ Incorrect,0.437
20,Skill_4,✓ Correct,0.869
