"CAST(""timestamp"" AS BIGINT)",CAST(solving_id AS INTEGER),question_id,user_answer,CAST(elapsed_time AS INTEGER)
1565097240758,10,q830,b,25000
1565126711968,20,q5049,b,47000
1565184506667,30,q351,b,19000
1565185332658,40,q4526,d,32000
1565310320427,50,q5071,a,43000
1565360743731,60,q8061,b,23000
1565558594636,70,q5499,a,9000
1566025932980,80,q4276,c,8000
1566219216118,90,q8482,a,33000
1566251265049,100,q8641,c,24000
1566336258906,110,q6551,c,43000
1566393941432,120,q9820,a,40000
1566478358854,130,q834,a,26000
1566479596937,140,q5774,a,88000
1566655376873,150,q380,b,23000
1566739714652,160,q1340,a,21000
1566769185012,170,q9455,d,24000
1566807574043,180,q6075,a,58000
1566826477072,190,q764,b,19000
1566911459552,200,q5315,a,51000
1567115014757,210,q5294,d,16000
1567141435225,220,q10029,b,19000
1567151339421,230,q1515,d,41666
1567151339595,230,q1516,d,41666
1567151339609,230,q1517,d,41666
1567430592285,240,q3190,b,43000
1567430592311,240,q3191,a,43000
1567430592321,240,q3189,b,43000
1567516182748,250,q2233,d,35000
1567516182799,250,q2234,c,35000
1567516182811,250,q2232,a,35000
1567517546928,260,q1310,c,19000
1567893088447,270,q7461,a,71800
1567893088459,270,q7460,b,71800
1567893088490,270,q7463,b,71800
1567893088497,270,q7464,d,71800
1567893088723,270,q7462,d,71800
1567979624100,280,q3911,d,45000
1568122817085,290,q8108,d,24000
1568181478385,300,q10634,b,42750
1568181478400,300,q10636,a,42750
1568181478462,300,q10635,a,42750
1568181478572,300,q10637,c,42750
1568344231656,310,q4318,d,43000
1568450064588,320,q6665,c,55250
1568450064674,320,q6667,a,55250
1568450064679,320,q6668,a,55250
1568450064705,320,q6666,b,55250
1568699575882,330,q9463,b,26000
1568707798469,340,q6571,b,142750
1568707798489,340,q6569,c,142750
1568707798500,340,q6570,c,142750
1568707798554,340,q6572,d,142750
1568756477935,350,q2624,b,38000
1568756478803,350,q2622,a,38000
1568756478897,350,q2623,b,38000
1568767034076,360,q59,c,29000
1568815015405,370,q73,b,26000
1568845629948,380,q1924,b,47000
1568845629948,380,q1925,a,47000
1568845629964,380,q1923,b,47000
1569050317587,390,q6568,b,56500
1569050317593,390,q6565,a,56500
1569050317626,390,q6567,b,56500
1569050317726,390,q6566,d,56500
1569157993775,400,q3222,a,37333
1569157993800,400,q3223,c,37333
1569157993814,400,q3224,d,37333
1569275203698,410,q6355,b,21000
1569284149262,420,q6194,a,16000
1569287374890,430,q555,c,22000
1569321070271,440,q9672,b,48000
1569332646881,450,q8131,d,28000
1569448935606,460,q4122,d,40000
1569465304690,470,q5063,a,66000
1569469090271,480,q5316,d,188000
1569481578888,490,q3259,d,54666
1569481578927,490,q3258,b,54666
1569481578929,490,q3260,d,54666
1569486384744,500,q10961,b,29000
1569487465692,510,q758,c,21000
1569506128962,520,q5686,c,36000
1569541232952,530,q3806,a,29000
1569543696544,540,q1107,b,20000
1569544256161,550,q587,b,20000
1569544825159,560,q336,b,20000
1569547111821,570,q1555,c,7333
1569547111858,570,q1554,a,7333
1569547111883,570,q1556,a,7333
1569549970781,580,q2944,d,31333
1569549970805,580,q2943,d,31333
1569549970813,580,q2945,b,31333
1569551650381,590,q5076,a,35000
1569552407816,600,q8573,b,71000
1569554314251,610,q7052,a,82400
1569554314252,610,q7049,d,82400
1569554314282,610,q7053,d,82400
1569554314292,610,q7051,a,82400
1569554314390,610,q7050,c,82400
1569566298640,620,q2541,c,7000
1569566298655,620,q2542,d,7000
1569566298794,620,q2543,a,7000
1569569103969,630,q6543,d,46000
1569574371107,640,q6859,c,76250
1569574371150,640,q6857,a,76250
1569574371158,640,q6858,c,76250
1569574371200,640,q6860,b,76250
1569589897307,650,q8071,a,23000
1569590867521,660,q6069,a,46000
1569646668164,670,q3412,c,8000
1569646668189,670,q3413,b,8000
1569646668212,670,q3411,c,8000
1565176346951,10,q4598,a,41000
1561544646442,10,q280,,4000
1561691018704,20,q7106,a,47500
1561691018732,20,q7107,d,47500
1549165088551,10,q8083,a,24000
1549169635764,20,q438,c,18000
