skill,correct
74,0
71,1
103,1
83,0
90,0
82,0
77,1
30,1
34,1
42,1
181,1
183,1
24,1
43,1
184,1
181,1
27,1
28,1
45,1
184,1
182,1
27,1
44,1
49,1
181,1
184,1
24,1
25,1
182,1
183,1
31,1
32,1
185,1
181,1
30,0
34,0
35,0
184,0
182,0
30,1
44,1
49,1
184,1
181,1
30,1
28,1
29,1
185,1
181,1
24,1
25,1
185,1
183,1
72,1
106,1
144,0
78,0
107,0
84,1
81,1
76,1
99,1
135,1
38,1
39,1
185,1
181,1
34,1
42,1
181,1
182,1
28,1
29,1
181,1
184,1
24,1
26,1
181,1
183,1
24,1
48,1
184,1
183,1
30,1
44,1
49,1
182,1
183,1
38,1
39,1
185,1
183,1
24,1
41,1
185,1
183,1
30,1
34,1
35,1
182,1
183,1
30,1
44,1
49,1
183,1
182,1
115,0
71,1
95,1
95,1
71,1
74,1
138,1
76,1
132,1
83,0
96,1
104,1
93,0
92,1
93,1
116,1
102,1
85,0
80,1
82,0
5,0
2,0
182,0
13,1
2,1
179,1
181,1
180,1
2,1
183,1
12,1
2,1
181,1
11,1
7,1
181,1
179,1
34,1
42,1
183,1
182,1
179,1
28,1
29,1
184,1
181,1
30,0
24,0
25,0
183,0
182,0
30,1
44,1
49,1
183,1
184,1
179,1
46,1
47,1
183,1
182,1
86,1
143,1
116,1
75,1
77,1
116,0
76,1
143,0
106,1
113,0
122,1
85,1
80,1
123,0
140,1
76,1
121,1
112,1
135,1
133,1
81,1
138,1
113,0
113,1
113,1
76,0
143,1
73,1
71,0
117,1
85,1
76,1
108,1
123,0
77,1
125,1
86,1
141,1
76,1
137,1
136,1
94,0
85,1
131,1
88,1
120,1
83,1
129,0
106,0
85,1
85,0
93,1
119,1
76,1
77,1
107,1
96,0
80,1
85,0
118,1
91,0
105,1
136,1
87,1
104,1
114,1
108,1
111,1
119,1
30,0
24,0
40,0
183,0
181,0
27,1
24,1
40,1
183,1
181,1
31,1
32,1
182,1
183,1
